m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
100.0,3.1622776601683795e-05,0.0001,1.6853608810142354e-17,1.7808265368986411
100.0,3.1622776601683795e-05,0.00015848931924611142,6.709542517021275e-17,4.473234014907895
100.0,3.1622776601683795e-05,0.00025118864315095795,2.6711169871597244e-16,11.236255827014249
100.0,3.1622776601683795e-05,0.00039810717055349735,1.0633908259755416e-15,28.224198552847575
100.0,3.1622776601683795e-05,0.000630957344480193,4.2334351292166845e-15,70.89598138513006
100.0,5.623413251903491e-05,0.0001,1.68526138531004e-17,1.7281692961741084
100.0,5.623413251903491e-05,0.00015848931924611142,6.709146417488479e-17,4.340965006411207
100.0,5.623413251903491e-05,0.00025118864315095795,2.670959297095466e-16,10.904011099262194
100.0,5.623413251903491e-05,0.00039810717055349735,1.0633280484302353e-15,27.389637529266594
100.0,5.623413251903491e-05,0.000630957344480193,4.233185207307322e-15,68.79965887373024
100.0,0.0001,0.0001,1.6850960603652513e-17,1.6755120554495755
100.0,0.0001,0.00015848931924611142,6.708488247028562e-17,4.2086959979145195
100.0,0.0001,0.00025118864315095795,2.6706972747159264e-16,10.571766371510138
100.0,0.0001,0.00039810717055349735,1.063223735442095e-15,26.555076505685612
100.0,0.0001,0.000630957344480193,4.232769929821718e-15,66.70333636233043
100.0,0.00017782794100389227,0.0001,1.684826568810101e-17,1.6228548147250428
100.0,0.00017782794100389227,0.00015848931924611142,6.707415381823473e-17,4.076426989417832
